RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
,United States,0,188300,184700,180700,176800,175100,174200,173200,171500,169300,166400,163900,162200,159700,155400,151600,150800,152900,155700,157300,158200,159800,161400,163800,163600,164600,161600,159600,1.56E+05,156700,157200,158900,157900,158300,157900,158600,157400,155100,152300,149600,149200,149700,1.50E+05,149200,148100,148300,149100,149400,148800,148700,149400,151700,153800,155800,157100,157600,158600,1.60E+05,162700,163800,163400,163900,165400,168200,169800,172200,174100,174600,174900,174700,175100,174600,175200,175600,175900,176300,177100,178500,1.80E+05,181400,181800,182100,182400,184500,186300,1.89E+05,190500,192100,192700,193400,192900,192700,191800,192400,194200,196500,197500,197300,197700,198300,199700,200200,201700,202300,2.04E+05,206700,208200,210200,210300,211300,211200,211500,211600,2.12E+05,212500,214300,216100,219800,2.22E+05,225900,229400,232500,232300,229700,227600,226700,226200,226100,225900,
9,California,1,390100,371500,347100,331200,316800,304600,290100,278200,264700,256600,244700,238400,228300,2.21E+05,215900,219900,2.30E+05,2.38E+05,2.44E+05,248400,255100,262100,265200,266200,263600,261100,263500,263200,266300,262600,2.65E+05,262600,261500,260200,257600,257400,252800,250800,245800,243900,243100,243700,244600,243700,244700,245200,2.48E+05,249500,251200,255600,259500,264500,270800,277300,286400,291900,300100,309200,312400,314200,315600,324400,334800,343900,352100,356200,357100,358800,361100,367300,368300,3.71E+05,369700,371200,373400,373400,376100,3.77E+05,380400,381700,382600,384600,386300,391100,3.93E+05,396200,395400,397600,398100,400700,401100,401600,404400,411300,416300,415500,412200,4.12E+05,414500,4.16E+05,416500,417500,419100,420400,421800,423400,424900,426800,428700,430300,432400,435300,437400,438400,441900,450200,461800,468300,474200,478800,483100,4.84E+05,482900,482900,485600,4.88E+05,488500,487900,486100
54,Texas,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184200,186200,186700,186800,184500,184400,185200,186600,188100,189400,190500,191500,192500,194300,195400,196200,196900,198400,199900,200700,200800,2.03E+05,203700,204400,203200,203600,204100,205100,206200,207500,208500,208700,209500,212400,213800,214700,214700,217100,219600,219700,217900,215100,
43,New York,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41E+05,247700,254400,263300,262400,258100,252700,251900,246400,238100,220500,206400,197100,196500,195600,197100,195300,198200,206600,209100,211700,212700,216500,2.18E+05,219400,220900,217400,214300,208600,216500,219800,229100,232400,236300,237900,235200,234300,2.34E+05,234700,231900,227300,231600,2.32E+05,233100,228300,225800,226600,226400,228100,228400,228300,229500,229100,228900,228500,225900,229500,233200,237600,240800,240700,239700,236600,241100,244100,243800,244400,246700,2.50E+05,247700,245200,247100,2.51E+05,253500,259500,263200,272100,274100,275600,274600,271100,2.73E+05,274500,280300,283800,291400,295300,296900,297400,299100,300800,303500,302600,3.02E+05,296400,
14,Florida,4,205900,197200,190800,186500,183800,180500,175600,169500,163700,156400,150600,144500,1.39E+05,1.33E+05,127400,124900,126100,127300,129300,128800,130600,130600,1.30E+05,128300,127100,126400,124700,123300,120300,117400,115100,1.15E+05,116200,116600,114700,110900,108600,109800,112700,114100,115500,1.16E+05,116800,116100,116400,117800,119800,121100,121500,122400,123600,124600,124900,125500,1.27E+05,128400,130500,132600,135200,135800,136300,137800,139300,141100,1.42E+05,144600,147300,148300,150400,150100,150200,148100,147600,1.48E+05,148600,149900,151600,152600,1.54E+05,155200,157400,158300,158500,159200,161500,164100,166600,167100,167900,168100,170100,170800,171800,172700,175600,178700,179800,1.80E+05,180100,181900,183500,185300,186100,187700,188700,189900,191700,194300,196700,197800,197800,198200,199500,200900,201700,202800,205700,210100,217100,223200,2.26E+05,223100,218600,216600,216100,217600,2.19E+05,220300,
21,Illinois,5,2.12E+05,207200,192900,183300,179700,180800,181900,1.81E+05,178600,175600,170600,168800,1.65E+05,160700,154500,149300,150800,155200,159200,161300,162800,166500,169500,170900,166800,161900,156100,156100,156400,155700,151300,149800,151400,153200,1.54E+05,151600,148600,142300,137400,136700,139600,142200,142500,140300,1.38E+05,1.38E+05,136400,134800,133800,134600,135900,137500,138400,140900,139100,1.38E+05,139400,139900,141600,139500,139600,1.39E+05,141400,145600,1.53E+05,157300,160400,162200,163700,165700,165300,166900,165900,164400,162800,163900,164800,166800,1.71E+05,173300,1.74E+05,171400,171400,173800,174700,175500,173500,172500,172400,168600,166800,162700,160900,1.58E+05,157100,157800,159900,162600,1.64E+05,165100,164900,166800,165900,165800,167100,170100,172500,172900,175300,176200,176600,173700,171300,170400,169300,170700,173900,176900,180900,1.84E+05,1.91E+05,193200,192100,192600,192900,190900,186900,184400,189600
47,Pennsylvania,6,147900,146200,144400,1.41E+05,140900,141500,142300,140800,139500,137300,136600,136200,138600,138400,137400,135700,135900,1.38E+05,140500,141200,142700,143500,143600,143600,144100,144900,143900,140100,1.38E+05,134900,134700,134600,136900,138500,140900,141600,1.40E+05,136300,133200,132600,132800,133100,131500,131100,131600,134800,137900,140300,140100,139800,139400,140200,140400,139500,138300,137700,140100,142400,143900,143700,143400,143400,143500,143800,145100,145400,145100,144200,143500,143800,143300,144400,144400,142700,141100,140300,141300,143100,144500,144900,144300,144600,145600,145900,146400,1.46E+05,145400,145300,146800,147700,148900,148300,1.48E+05,146500,1.48E+05,149400,148800,148800,1.49E+05,151300,150900,1.51E+05,150700,151800,153100,1.54E+05,154500,154200,155200,156200,157700,158800,159200,158600,157600,157900,159100,161300,163200,163800,1.66E+05,164400,163900,161700,162400,162400,162700,162700,
44,Ohio,7,110300,106700,105900,105400,105900,105200,103300,100300,93800,89200,86200,85300,84600,85100,88700,93200,97500,100100,102600,1.05E+05,106400,106100,103600,102600,101400,100700,1.02E+05,103200,100400,95900,91100,91100,91300,95600,96600,93100,86100,8.30E+04,85400,89300,9.30E+04,93900,92700,91100,90200,92400,92400,90700,8.90E+04,90100,95600,98300,1.02E+05,102200,102200,101400,100900,102800,104400,103100,101200,98100,101600,104700,109200,110200,109500,107400,108100,108600,110800,109600,110500,110600,112400,114400,116100,1.17E+05,117400,117300,116900,118600,117600,118900,117500,117300,117300,117200,118600,118600,118700,118600,114700,114700,116100,121100,121800,1.22E+05,122100,122800,122700,122700,122900,124100,124900,126400,129700,130700,130500,128200,127500,1.27E+05,126200,126800,1.28E+05,129700,130500,1.33E+05,137200,141100,140100,136700,133600,1.33E+05,133900,135500,137100,138100,
30,Michigan,8,,,,,,,,,,,,,,,,,,,,,,,,7.10E+04,67800,67500,68800,69100,68200,6.40E+04,61800,5.90E+04,67800,69900,72800,64600,62300,59400,58300,58700,61300,63300,64500,63200,62900,64500,66200,66100,63600,62800,64200,65900,68100,7.00E+04,72400,71200,64900,65700,69200,78800,81700,83700,84900,86300,90700,94800,97400,96300,91600,90600,91600,95600,95400,95300,97500,101900,106400,109200,110500,109700,107800,104800,107200,1.10E+05,114900,116300,118700,119700,120100,119200,119200,115700,120600,121400,126700,125900,1.28E+05,128200,126800,126300,126600,126900,126600,1.28E+05,154300,158200,159600,136900,135300,136400,135300,135400,133600,134100,134900,136500,163300,166700,169400,146300,147300,146600,145300,1.42E+05,141800,141100,141400,138700,
16,Georgia,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108900,107700,104400,99600,94500,94600,95500,97400,96700,97100,97600,97700,98200,99400,102200,103700,104600,105900,109800,113300,115800,116900,119100,120700,1.23E+05,124900,128700,129800,129900,128800,128800,129200,129700,129700,129200,129900,132400,135800,138300,138700,139300,139600,141800,143500,145400,146800,151600,153200,154400,151300,152100,153600,154900,155400,155800,157800,159700,160300,159800,159800,159600,160200,159800,159600,1.60E+05,162100,163500,165400,166300,170100,170400,1.71E+05,169100,1.70E+05,170400,1.72E+05,173900,175800,178200,180100,184100,185800,187400,185800,185400,184300,183200,184300,185400,
36,North Carolina,10,155800,154300,149300,147600,147600,147600,146700,147300,1.45E+05,144600,144600,151100,153300,151400,147200,145600,147300,147900,1.49E+05,149600,150100,149100,151200,153200,154100,150900,147800,147500,147900,147600,148100,148300,149300,150100,150400,151100,148700,147400,145800,146800,146500,147700,146300,146300,144600,146200,146300,149100,149900,150800,148800,148400,147900,148100,1.48E+05,1.48E+05,149800,152200,153300,153700,152500,153500,152700,152600,153600,154400,1.55E+05,154700,154500,155900,1.56E+05,156200,154300,153500,154600,154800,155800,154800,155600,155500,156600,157800,160400,164200,165400,165900,165200,1.66E+05,166300,165200,164800,163800,163400,163500,165200,165900,165300,165400,165700,167700,167200,168900,169100,171500,172200,172300,171800,171800,173900,1.75E+05,174100,174500,175100,176200,176500,177600,180500,1.82E+05,184500,1.89E+05,1.94E+05,196900,196300,194100,192900,192400,193300,193800,
40,New Jersey,11,334800,334400,326900,312800,305500,301700,298700,297300,298500,299500,296400,294800,297800,296600,290800,280800,277400,2.76E+05,273200,274300,274800,2.76E+05,277800,281500,289300,290500,286300,280800,277500,278200,274300,273100,272900,277800,279400,2.81E+05,280900,280300,276400,2.73E+05,271700,269800,265800,261100,256900,256300,255900,258500,263500,268100,268300,266300,264500,266200,262600,261800,260800,262700,264800,266200,267500,2.68E+05,269300,271300,272500,276800,276700,277800,274100,276100,278900,280200,284800,283100,282800,278100,278800,281200,277400,274700,272400,276300,278500,278700,279200,280700,280500,279800,276600,275300,272800,273100,274100,273400,271600,271100,273500,272700,270200,269400,272300,275900,278100,277800,277500,280900,279800,280200,274900,275300,274300,271600,266600,264700,2.66E+05,269100,269100,270100,273700,276300,278900,280800,281800,2.83E+05,280400,282400,280900,282800,
56,Virginia,12,249300,245200,2.38E+05,232400,231300,231700,231800,229300,224800,219100,217500,2.19E+05,219700,216900,213100,211800,213600,218700,223500,226800,224900,224800,226600,2.29E+05,229100,225500,220700,216900,220200,227100,232700,231400,228900,228100,225600,222200,216200,213100,208900,207800,212200,217800,222600,217600,214200,211500,212600,212800,215400,2.20E+05,224900,227100,229400,231300,235600,235400,240200,2.38E+05,239300,233100,233600,233400,237500,243400,244600,2.48E+05,245600,246900,2.44E+05,2.42E+05,239500,238200,238700,240200,240200,240800,239800,241700,240800,242400,2.42E+05,244900,245300,2.48E+05,247200,247800,247800,247500,247900,246500,246100,2.44E+05,240600,240300,243300,2.46E+05,246100,244900,244800,245100,246300,247200,247900,249200,250300,249800,251200,253200,253400,253800,252500,254500,255200,2.55E+05,254400,251800,253500,253800,258300,2.60E+05,263400,263100,262400,263500,262700,262800,2.62E+05,262400,
59,Washington,13,283600,278100,2.70E+05,262500,258400,257700,255800,254700,2.52E+05,254200,255700,259400,254700,249400,239400,237200,234900,236500,237900,239700,238800,240500,245200,250500,249800,245400,240300,235600,238200,239800,242500,238100,236900,239200,239400,240900,235400,231400,223800,217900,214300,213300,213800,212900,211600,213200,212800,2.12E+05,2.09E+05,213800,217900,224400,224800,227500,229300,232800,235900,239300,239200,239300,239600,242900,244900,245700,246800,249100,2.50E+05,249400,247900,247600,247500,249100,249400,2.50E+05,249900,251400,254300,255900,257300,258100,257400,258300,259500,264800,266300,2.70E+05,271700,273300,272100,270600,271900,274600,276700,2.81E+05,2.83E+05,285100,285800,287300,289300,2.91E+05,293500,295900,297200,298600,3.01E+05,304200,308600,310300,312500,3.14E+05,315700,318200,318900,320600,322600,3.26E+05,330400,3.35E+05,337500,345500,350200,3.56E+05,353300,3.50E+05,346400,343600,344100,345900,348100
26,Massachusetts,14,314500,309900,297800,291900,288400,288400,285600,284100,275700,269600,261900,2.66E+05,2.65E+05,267200,263300,2.67E+05,2.70E+05,275100,276800,276900,271300,2.75E+05,279300,289500,289200,288600,282100,283100,284900,291500,2.90E+05,288400,285700,2.84E+05,2.75E+05,265500,258800,262500,270700,280600,286100,286200,284400,279900,275100,270300,267400,269600,271500,275700,277100,283200,287700,286500,2.82E+05,2.79E+05,280400,283500,276200,279700,280100,292500,292900,298300,301200,304800,305400,302500,298300,295200,3.00E+05,312300,3.19E+05,320600,319500,319800,320900,319200,317400,316700,316100,318500,321600,331500,333300,3.30E+05,322200,320800,324600,326300,326900,326600,325700,327200,3.27E+05,328400,326900,328800,328400,330500,330800,332200,333400,334900,337100,337100,338600,3.41E+05,343900,345300,345700,347500,348300,347900,349900,3.53E+05,356400,356400,355900,366100,369200,374700,369600,372600,371600,3.71E+05,368200,368700,
22,Indiana,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118100,119900,120400,123300,123900,124500,1.24E+05,1.22E+05,121500,1.22E+05,125200,127800,129400,130800,129800,1.28E+05,126100,125200,119900,115100,111700,113900,116100,119400,122100,124400,126400,127400,128600,128800,1.30E+05,130100,130900,1.31E+05,132500,133700,134700,134500,133200,130900,131700,132500,135900,136800,136800,136100,134900,134800,135700,137500,138700,139100,138600,139300,142300,143600,144300,142700,142900,143400,143400,144300,144400,145100,145800,147100,151500,1.53E+05,154700,152300,152100,150900,1.52E+05,153800,156100,157800,
8,Arizona,16,222300,213300,204300,197900,192600,187900,181200,174600,166800,158500,149700,141600,134400,127600,122600,122900,126900,131600,134200,134500,136700,136500,137100,136300,136300,135100,1.32E+05,130900,129400,128900,127600,126200,125400,1.22E+05,120700,119700,119200,116900,113100,113500,114200,115400,116900,118200,123100,124400,121200,116400,114800,118600,122400,124400,126800,129600,130900,134200,137800,142400,144500,144500,145700,147600,149600,151800,153400,154500,155200,156200,156900,158800,159200,159200,158600,158400,158100,157100,157900,159100,161600,162400,163900,164800,165200,166900,168500,170200,171300,172400,173500,174200,175800,177200,179100,183100,185200,187100,186300,187900,189100,190400,191900,194400,195200,1.97E+05,199800,202200,204300,205200,207300,2.08E+05,208900,208700,210700,212600,216600,218500,223300,225700,230900,230500,229400,225900,224300,226700,234700,2.42E+05,244400,2.39E+05,235700
53,Tennessee,17,118800,118700,117600,116800,116400,116100,1.15E+05,113100,110700,107900,107800,109900,1.11E+05,111300,109800,111900,112500,114100,114200,114900,115600,114900,114800,113300,114300,114600,115800,114900,1.12E+05,110500,109300,110200,110600,113500,115700,115800,114500,112600,111500,109500,109500,110700,111400,111100,110800,112700,112400,112200,110900,112900,113400,113600,112500,112600,112900,1.14E+05,115200,117500,117900,118200,117500,119100,120500,122100,123300,1.23E+05,122800,121500,122500,122700,122300,123800,125300,127600,127500,128200,1.30E+05,130900,131100,131400,132900,135400,136100,136900,137200,137600,137900,137900,138800,139100,140100,140500,141200,141100,142600,143500,144300,144800,145800,146900,147900,150500,1.52E+05,154700,154500,156100,157300,158600,158800,159100,158400,1.60E+05,160500,164200,165700,167600,169500,171900,175600,177700,180200,1.79E+05,176700,174500,173100,173700,172800,175200,
32,Missouri,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127700,128400,128500,128600,129600,129300,128700,129500,127200,130100,129600,134800,134800,137100,138500,138700,138900,138300,138300,138500,138400,138700,137600,137900,137200,138800,139800,140800,140100,138500,139500,1.41E+05,144100,147100,149100,149500,148800,149200,149100,148900,147500,147700,147400,149100,149500,151700,151900,152800,152200,152500,152500,152500,153700,154200,155200,154500,155100,160700,160700,160500,154500,154800,155100,155800,156100,156600,158400,161300,164100,171600,172100,1.72E+05,166100,163900,1.63E+05,1.62E+05,163300,1.65E+05,
27,Maryland,19,269800,267800,262900,255900,251800,252600,253400,253400,251700,247800,2.47E+05,247300,2.51E+05,250300,242700,235700,226700,230600,229600,233200,229300,232500,233400,233500,231400,227200,222200,214200,207900,202400,200900,204300,206800,207700,214100,224700,217500,2.03E+05,180700,177400,179100,190500,203600,206600,210100,209200,214500,2.12E+05,215400,217500,222900,224800,223500,2.23E+05,217700,222300,224400,226800,228400,223500,225600,224100,230400,232900,238700,240700,239500,234600,234700,235600,237900,236800,240700,239100,241800,239600,240700,240100,2.41E+05,240800,239900,240600,239200,2.37E+05,235700,238200,2.39E+05,243300,242900,243600,241100,240500,241200,242300,241200,245400,2.46E+05,249700,248200,2.49E+05,252100,253500,252300,254900,255900,257400,2.55E+05,256900,258700,259100,258600,258100,256500,2.56E+05,259800,261600,264200,264200,267900,267300,270200,269300,269700,266200,264600,266400,267200,268700,
