RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925600,953900,1050400,945400,922400,859200,862100,877600,874400,826e3,848600,880900,963500,1015600,1036100,1109500,1057100,1021900,942800,944e3,920900,875300,889e3,871400,1018e3,1039800,1020800,958e3,1007300,1113400,1167800,1076400
84654,60657,Illinois,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398300,391200,395300,400500,407800,385100,385200,387800,400400,396600,389500,387800,370800,365500,356600,355600,314800,321100,311600,321100,313900,319500,327e3,323700,331200,331900,321800,307500,317e3,316900,331100,305400,318600,311200,319e3,307700,309e3,320800,329100,344800,353700,360700,366600,378e3,387700,345300,337300,,,,,,
91982,77494,Texas,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246500,262500,257300,256400,246e3,25e4,247600,247400,249100,250300,266600,268800,274200,264900,261900,253900,253900,255500,263900,260800,257700,250100,248100,251300,257900,263800,265600,265200,272800,278200,278100,271e3,270100,273600,279700,279500,281300,280800,282300,278700,280200,283900,291200,292e3,287500,291300,291100,303600,301800,314400,311400,311700,302600,297700,304600,303700,307500,301300,305100,305100,305300,304100,308100,312800,315200,318200,315200,321400,323600,327900,332900,329700,328e3,314400,312800,317800,318600,315700,311600,312800,312900,324500,331e3,336600,333100,329500,334900,324100,323300,308600,307200,
93144,79936,Texas,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117800,119700,115300,118200,114200,114e3,115200,118700,119500,118500,117500,116500,116300,119200,123900,121100,122700,119500,118800,120400,119400,115700,104300,106500,111900,120800,119500,120900,118400,120400,119400,119800,117600,116800,118300,112600,113500,112400,119300,119400,120900,120700,122800,121e3,119500,117e3,119200,122900,120300,116600,114200,119100,118500,117300,118400,123200,128200,128100,125500,123300,124600,128900,129e3,127e3,127e3,129800,129200,128400,132500,134e3,130400,127300,127800,128500,126300,126900,131200,132200,130900,129300,130400,128500
91940,77449,Texas,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145500,146700,145300,148400,149700,153200,151600,152500,154700,155900,152800,150700,155400,161300,162700,159900,159500,165100,171e3,172800,172600,169200,167200,166100,167700,167400,167900,163700,166200,164500,169400,170600,174800,176600,178100,179100,176400,173900,170700,178e3,180500,182600,177900,179e3,178700,177200,179600,181100,185700
61616,10002,New York,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450700,427100,405300,433800,446600,467500,458100,498200,523600,542200,529500,551e3,540400,566600,535500,532200,514900,561400,563200,567500,547e3,548600,569100,581400,62e4,590100,612600,665800,683500,658200,584700,603500,570900,626700,617300,642900,641700,670100,678600,666900,717e3,786500,849900,838400,817600,772200,751600,738900,728700,747600,789800,800500,829800,761900,765100,709700,784500,767e3,856e3,845200,851100,805100,812300,847900,847700,987400,1038200,1049500,874100,822900,799600,852100,780700,779300,723900
61630,10016,New York,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695400,831300,863200,858100,759200,756100,761600,746400,784500,806900,811400,720900,690700,704200,734800,693800,655e3,711800,786900,860100,823800,834600,800100,830800,829500,812700,810200,784300,795600,789200,777600,748500,720800,758300,805800,909300,900900,907100
74101,37013,Tennessee,8,132600,135e3,133700,133500,132500,132400,131500,131700,128100,124400,121300,124900,131400,131800,128900,125900,128900,129500,127600,127700,124200,125600,120400,122300,122300,122e3,122500,122100,121800,118200,117500,113300,111600,110600,110400,113500,108700,105500,102500,103500,106200,103800,103300,101e3,101800,106200,110300,113400,106600,104200,104100,105300,104300,99100,106300,113e3,114900,107600,105300,108800,114200,120200,121900,125200,123800,120300,118100,119600,125400,130200,132300,133600,132800,132e3,131800,130900,129200,129800,131200,132200,133100,133400,135600,144200,148200,147200,142e3,142100,147700,148700,149e3,147400,148e3,148600,151900,152200,154600,154500,159200,162200,163800,163100,166200,169100,173200,173500,172800,175600,175600,180800,178700,179500,180600,186e3,192e3,195700,195900,195900,192300,194900,199200,207e3,214700,216500,221400,216500,218600,217200,215500
92593,78660,Texas,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167300,167900,169400,175300,180400,183800,179700,178700,173900,175900,174900,179700,180700,182700,18e4,179100,177200,179400,182e3,181400,183800,186100,190600,193800,196800,202200,206700,212500,210200,205700,202100,203200,206900,207700,211700,209200,208800,206900,213400,216300,220200,219900,224300,227600,233800,243500,242700,241500,234500,234200,232600,228900,231600,237e3,240600,242e3,241100,247500,243e3,241400,236500,241300,241400,244e3,243800,247100,242500,248e3,
96107,90250,California,10,503900,447400,395600,377300,420300,405700,398600,374700,384e3,388100,369700,348900,335900,320200,312700,311800,312700,317600,315600,311500,309600,328900,335e3,339700,343700,351700,377100,351600,347200,326800,33e4,333e3,319700,324900,33e4,357800,350200,360300,331500,314800,294300,292e3,31e4,309500,323600,319400,313200,285800,294200,301700,319e3,305300,318200,313600,329400,320200,358100,353900,368900,360400,383300,370500,366100,378700,393100,413800,411300,398900,398900,393e3,451200,453300,455700,429100,440500,447500,457100,473400,485e3,483300,452200,470100,463400,484700,498800,510500,516500,490300,487100,470300,474500,477900,497300,503200,517e3,526700,528400,521e3,506100,522400,530300,548700,540500,550200,555700,558300,600600,601800,613200,583100,595900,584200,615700,596e3,603e3,566500,567300,557900,580500,608200,637900,637900,643900,645100,664e3,678e3,680500,655400,639500
