Organization,Active,License,UBI,Type,Address,Address Line 2,City,State,County,Zip,CreateDate,DayPhone
BEAUSOLEIL,ACTIVE (ISSUED),416694,6.03354E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,7903 BEAVER VALLEY RD STE A,,CHIMACUM,WA,JEFFERSON,983250000,20171229,2253299486
'OH' MCDONALD FARMS,ACTIVE (ISSUED),413650,6.03443E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,250 W AXTON RD,,BELLINGHAM,WA,WHATCOM,982267315,20171104,3609666785
POT ZONE,ACTIVE (ISSUED),415229,6.03354E+15,MARIJUANA RETAILER,1703 SE SEDGWICK RD,STE 113,PORT ORCHARD,WA,KITSAP,983669599,20171114,2533127280
BEST BUDS MARKETING AND DISTRIBUTION,ACTIVE (ISSUED),425431,6.04133E+15,MARIJUANA TRANSPORTATION,1206 N DOLARWAY RD STE 116,,ELLENSBURG,WA,KITTITAS,989268392,20171115,2064095228
RED FROG,ACTIVE (ISSUED),412437,6.03347E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,12815 227TH AVE SE  STE A,STE A,MONROE,WA,SNOHOMISH,982728720,20171130,3608058855
BULLDOG WEED,PENDING (ISSUED),412050,6.0343E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,6009 N JULIA ST,,SPOKANE,WA,SPOKANE,992176584,20180306,5093895558
ALTITUDE,ACTIVE (ISSUED),414225,6.03357E+15,MARIJUANA RETAILER/MEDICAL MARIJUANA ENDORSEMENT,260 MERLOT DR,,PROSSER,WA,BENTON,993500000,20171114,5097864200
INTERSTATE 502,ACTIVE (ISSUED),417580,6.03357E+15,MARIJUANA PRODUCER TIER 2/MARIJUANA PROCESSOR,3431 AIRPORT RD STE C,,PULLMAN,WA,WHITMAN,991636001,20180119,2085965665
VERDANT CIRCLE,ACTIVE (ISSUED),416880,6.03361E+15,MARIJUANA PRODUCER TIER 3/MARIJUANA PROCESSOR,7797 ROAD K.5 NE STE B,STE B,MOSES LAKE,WA,GRANT,988379001,20180105,4147310189
SATIVA GROUP,ACTIVE (ISSUED),422627,6.03356E+15,MARIJUANA PROCESSOR,7537 POSTMA RD,STE A,MOXEE,WA,YAKIMA,989369806,20171207,5095711065
WALDEN CANNABIS,ACTIVE (ISSUED),412024,6.03359E+15,MARIJUANA PROCESSOR,2916 STATE ST STE 201,,EVERETT,WA,SNOHOMISH,982013842,20180124,3525149238
RODRIGO MANUEL OCAMPO,ACTIVE (ISSUED),425344,6.03352E+15,MARIJUANA PRODUCER TIER 1,7457 S MADISON ST STE C,,TACOMA,WA,PIERCE,984091000,20170819,2532099473
FAMILY PLOT,ACTIVE (ISSUED),416068,6.03351E+15,MARIJUANA PRODUCER TIER 2,26425 S RUPP RD F1,,CHENEY,WA,SPOKANE,990040000,20171114,5098791307
