Geography,2010,2011,2012,2013,2014,2015,2016,2017,2018
United States,"309,326,085","311,580,009","313,874,218","316,057,727","318,386,421","320,742,673","323,071,342","325,147,121","327,167,434"
Alabama,"4,785,448","4,798,834","4,815,564","4,830,460","4,842,481","4,853,160","4,864,745","4,875,120","4,887,871"
Alaska,"713,906","722,038","730,399","737,045","736,307","737,547","741,504","739,786","737,438"
Arizona,"6,407,774","6,473,497","6,556,629","6,634,999","6,733,840","6,833,596","6,945,452","7,048,876","7,171,646"
Arkansas,"2,921,978","2,940,407","2,952,109","2,959,549","2,967,726","2,978,407","2,990,410","3,002,997","3,013,825"
California,"37,320,903","37,641,823","37,960,782","38,280,824","38,625,139","38,953,142","39,209,127","39,399,349","39,557,045"
Colorado,"5,048,281","5,121,771","5,193,721","5,270,482","5,351,218","5,452,107","5,540,921","5,615,902","5,695,564"
Connecticut,"3,579,125","3,588,023","3,594,395","3,594,915","3,594,783","3,587,509","3,578,674","3,573,880","3,572,665"
Delaware,"899,595","907,316","915,188","923,638","932,596","941,413","949,216","957,078","967,171"
District of Columbia,"605,085","619,602","634,725","650,431","662,513","675,254","686,575","695,691","702,455"
Florida,"18,845,785","19,093,352","19,326,230","19,563,166","19,860,330","20,224,249","20,629,982","20,976,812","21,299,325"
Georgia,"9,711,810","9,801,578","9,901,496","9,973,326","10,069,001","10,181,111","10,304,763","10,413,055","10,519,475"
Hawaii,"1,363,963","1,379,252","1,394,905","1,408,453","1,414,862","1,422,484","1,428,105","1,424,203","1,420,491"
Idaho,"1,570,773","1,583,828","1,595,441","1,611,530","1,631,479","1,651,523","1,682,930","1,718,904","1,754,208"
Illinois,"12,840,762","12,867,291","12,884,119","12,898,269","12,888,962","12,864,342","12,826,895","12,786,196","12,741,080"
Indiana,"6,490,436","6,516,045","6,537,640","6,568,367","6,593,533","6,608,296","6,633,344","6,660,082","6,691,878"
Iowa,"3,050,767","3,066,054","3,076,097","3,093,078","3,109,504","3,121,460","3,131,785","3,143,637","3,156,145"
Kansas,"2,858,213","2,869,035","2,885,361","2,893,510","2,900,896","2,909,502","2,911,263","2,910,689","2,911,505"
Kentucky,"4,348,200","4,369,488","4,386,381","4,404,817","4,414,483","4,425,999","4,438,229","4,453,874","4,468,402"
Louisiana,"4,544,532","4,575,184","4,600,814","4,624,577","4,644,204","4,664,851","4,678,215","4,670,818","4,659,978"
Maine,"1,327,632","1,328,150","1,327,691","1,328,196","1,330,760","1,328,484","1,331,370","1,335,063","1,338,404"
Maryland,"5,788,642","5,838,991","5,887,072","5,923,704","5,958,165","5,986,717","6,004,692","6,024,891","6,042,718"
Massachusetts,"6,566,431","6,613,149","6,663,158","6,713,944","6,763,652","6,795,891","6,826,022","6,863,246","6,902,149"
Michigan,"9,877,535","9,881,521","9,896,930","9,913,349","9,930,589","9,932,573","9,951,890","9,976,447","9,995,915"
Minnesota,"5,310,843","5,345,668","5,376,550","5,413,693","5,451,522","5,482,503","5,523,409","5,568,155","5,611,179"
Mississippi,"2,970,536","2,978,470","2,983,767","2,988,797","2,990,623","2,988,693","2,988,298","2,989,663","2,986,530"
Missouri,"5,995,976","6,009,641","6,024,081","6,040,658","6,056,293","6,071,745","6,087,203","6,108,612","6,126,452"
Montana,"990,722","997,221","1,003,754","1,013,564","1,021,891","1,030,503","1,040,863","1,053,090","1,062,305"
Nebraska,"1,829,536","1,840,538","1,853,323","1,865,414","1,879,522","1,891,507","1,905,924","1,917,575","1,929,268"
Nevada,"2,702,464","2,712,799","2,744,566","2,776,972","2,819,012","2,868,666","2,919,772","2,972,405","3,034,392"
New Hampshire,"1,316,777","1,319,815","1,323,962","1,326,408","1,333,223","1,336,294","1,342,373","1,349,767","1,356,458"
New Jersey,"8,799,624","8,827,783","8,845,483","8,858,362","8,866,780","8,870,869","8,874,516","8,888,543","8,908,520"
New Mexico,"2,064,588","2,080,395","2,087,549","2,092,792","2,090,342","2,090,211","2,092,789","2,093,395","2,095,428"
New York,"19,400,080","19,498,514","19,574,549","19,628,043","19,656,330","19,661,411","19,641,589","19,590,719","19,542,209"
North Carolina,"9,574,293","9,656,754","9,749,123","9,843,599","9,933,944","10,033,079","10,156,679","10,270,800","10,383,620"
North Dakota,"674,710","685,136","701,116","721,999","737,382","754,022","754,353","755,176","760,077"
Ohio,"11,539,327","11,543,463","11,548,369","11,576,576","11,602,973","11,617,850","11,635,003","11,664,129","11,689,442"
Oklahoma,"3,759,632","3,787,821","3,818,600","3,853,205","3,878,367","3,909,831","3,926,769","3,932,640","3,943,079"
Oregon,"3,837,532","3,871,728","3,899,118","3,922,908","3,964,106","4,016,918","4,091,404","4,146,592","4,190,713"
Pennsylvania,"12,711,158","12,744,583","12,766,827","12,776,621","12,789,101","12,785,759","12,783,538","12,790,447","12,807,060"
Rhode Island,"1,053,938","1,053,536","1,054,601","1,055,122","1,056,017","1,056,173","1,057,063","1,056,486","1,057,315"
