Month,Year,State Tax Received,Total Sales,
February,2016,2484170,14612764.71,
March,2016,4358754,25639729.41,
April,2016,3735111,21971241.18,
May,2016,4339440,25526117.65,
June,2016,5735508,33738282.35,
July,2016,5533949,32552641.18,
August,2016,7345281,43207535.29,
September,2016,6679585,39291676.47,
October,2016,7831157,46065629.41,
November,2016,6463877,38022805.88,
December,2016,5647600,33221176.47,
January,2017,5261096,30947623.53,
February,2017,4509163,26524488.24,
March,2017,4476032,26329600,
April,2017,4484514,26379494.12,
May,2017,5734618,33733047.06,
June,2017,6297025,37041323.53,
July,2017,5165585,30385794.12,
August,2017,6771924,39834847.06,
September,2017,6442786,37898741.18,
October,2017,6217860,36575647.06,
November,2017,7044311,41437123.53,
December,2017,6241332,36713717.65,
January,2018,8001999,47070582.35,
February,2018,6700855,39416794.12,
March,2018,6768304,39813552.94,
April,2018,7653882,45022835.29,
May,2018,7783565,45785676.47,
June,2018,7411327,43596041.18,
July ,2018,8752076,51482800,
August,2018,8791774,51716317.65,
September,2018,6968501,40991182.35,
October,2018,10094972,59382188.24,
November,2018,8167938,48046694.12,
