Year,Period,labor force,employment,unemployment,unemployment rate
2012,Jan,366425,339328,27097,7.4
2012,Feb,366158,339301,26857,7.3
2012,Mar,365907,339291,26616,7.3
2012,Apr,365649,339247,26402,7.2
2012,May,365425,339189,26236,7.2
2012,Jun,365279,339191,26088,7.1
2012,Jul,365206,339296,25910,7.1
2012,Aug,365197,339480,25717,7
2012,Sep,365256,339678,25578,7
2012,Oct,365327,339822,25505,7
2012,Nov,365360,339883,25477,7
2012,Dec,365333,339858,25475,7
2013,Jan,365252,339758,25494,7
2013,Feb,365142,339624,25518,7
2013,Mar,365061,339539,25522,7
2013,Apr,365073,339583,25490,7
2013,May,365154,339715,25439,7
2013,Jun,365262,339843,25419,7
2013,Jul,365373,339939,25434,7
2013,Aug,365454,340011,25443,7
2013,Sep,365511,340073,25438,7
2013,Oct,365552,340102,25450,7
2013,Nov,365597,340104,25493,7
2013,Dec,365674,340129,25545,7
2014,Jan,365799,340224,25575,7
2014,Feb,365976,340390,25586,7
2014,Mar,366173,340576,25597,7
2014,Apr,366321,340698,25623,7
2014,May,366371,340738,25633,7
2014,Jun,366300,340724,25576,7
2014,Jul,366082,340654,25428,6.9
2014,Aug,365764,340579,25185,6.9
2014,Sep,365407,340561,24846,6.8
2014,Oct,365091,340639,24452,6.7
2014,Nov,364853,340782,24071,6.6
2014,Dec,364684,340913,23771,6.5
2015,Jan,364564,340969,23595,6.5
2015,Feb,364475,340940,23535,6.5
2015,Mar,364382,340839,23543,6.5
2015,Apr,364256,340699,23557,6.5
2015,May,364100,340548,23552,6.5
2015,Jun,363935,340385,23550,6.5
2015,Jul,363781,340202,23579,6.5
2015,Aug,363638,339980,23658,6.5
2015,Sep,363487,339705,23782,6.5
2015,Oct,363325,339395,23930,6.6
2015,Nov,363189,339106,24083,6.6
2015,Dec,363123,338890,24233,6.7
2016,Jan,363116,338737,24379,6.7
2016,Feb,363130,338609,24521,6.8
2016,Mar,363143,338475,24668,6.8
2016,Apr,363128,338301,24827,6.8
2016,May,363067,338073,24994,6.9
2016,Jun,362974,337833,25141,6.9
2016,Jul,362901,337641,25260,7
2016,Aug,362878,337517,25361,7
2016,Sep,362921,337472,25449,7
2016,Oct,363025,337512,25513,7
2016,Nov,363136,337585,25551,7
2016,Dec,363186,337620,25566,7
2017,Jan,363173,337605,25568,7
2017,Feb,363116,337536,25580,7
2017,Mar,363033,337404,25629,7.1
2017,Apr,362984,337254,25730,7.1
2017,May,362979,337104,25875,7.1
2017,Jun,362973,336937,26036,7.2
2017,Jul,362938,336758,26180,7.2
2017,Aug,362802,336540,26262,7.2
2017,Sep,362660,336377,26283,7.2
2017,Oct,362514,336249,26265,7.2
2017,Nov,362458,336224,26234,7.2
2017,Dec,362473,336253,26220,7.2
2018,Jan,362500,336189,26311,7.3
2018,Feb,362659,336265,26394,7.3
2018,Mar,362922,336510,26412,7.3
2018,Apr,362949,336494,26455,7.3
2018,May,362458,336210,26248,7.2
2018,Jun,361232,335535,25697,7.1
2018,Jul,359825,334906,24919,6.9
2018,Aug,358293,334195,24098,6.7
2018,Sep,356985,333648,23337,6.5
2018,Oct,356349,333572,22777,6.4
2018,Nov,356014(P),333543(P),22471(P),6.3(P)
