Year,Period,labor force,employment,unemployment,unemployment rate
2011,Jan,2726142,2486606,239536,8.8
2011,Feb,2726295,2489803,236492,8.7
2011,Mar,2725870,2492959,232911,8.5
2011,Apr,2725243,2495652,229591,8.4
2011,May,2725485,2498260,227225,8.3
2011,Jun,2727538,2501595,225943,8.3
2011,Jul,2731838,2506281,225557,8.3
2011,Aug,2737851,2512064,225787,8.2
2011,Sep,2744437,2518200,226237,8.2
2011,Oct,2750277,2523717,226560,8.2
2011,Nov,2754113,2527589,226524,8.2
2011,Dec,2755211,2529433,225778,8.2
2012,Jan,2754132,2529588,224544,8.2
2012,Feb,2752543,2529062,223481,8.1
2012,Mar,2751340,2528560,222780,8.1
2012,Apr,2750712,2528512,222200,8.1
2012,May,2751221,2529773,221448,8
2012,Jun,2753000,2532746,220254,8
2012,Jul,2755737,2537362,218375,7.9
2012,Aug,2759167,2543095,216072,7.8
2012,Sep,2763026,2549191,213835,7.7
2012,Oct,2766298,2554638,211660,7.7
2012,Nov,2768164,2558745,209419,7.6
2012,Dec,2768370,2561350,207020,7.5
2013,Jan,2767274,2562697,204577,7.4
2013,Feb,2765868,2563642,202226,7.3
2013,Mar,2765227,2565296,199931,7.2
2013,Apr,2766087,2568489,197598,7.1
2013,May,2767770,2572419,195351,7.1
2013,Jun,2769223,2576118,193105,7
2013,Jul,2769763,2579207,190556,6.9
2013,Aug,2769026,2581863,187163,6.8
2013,Sep,2767659,2584827,182832,6.6
2013,Oct,2767060,2588943,178117,6.4
2013,Nov,2768743,2595010,173733,6.3
2013,Dec,2772991,2603132,169859,6.1
2014,Jan,2778846,2612888,165958,6
2014,Feb,2784943,2623470,161473,5.8
2014,Mar,2790331,2633850,156481,5.6
2014,Apr,2794211,2643134,151077,5.4
2014,May,2796717,2651468,145249,5.2
2014,Jun,2798862,2659441,139421,5
2014,Jul,2801137,2666946,134191,4.8
2014,Aug,2803968,2673927,130041,4.6
2014,Sep,2807182,2680193,126989,4.5
2014,Oct,2810172,2685419,124753,4.4
2014,Nov,2812153,2689289,122864,4.4
2014,Dec,2813376,2692166,121210,4.3
2015,Jan,2814564,2694651,119913,4.3
2015,Feb,2815991,2697178,118813,4.2
2015,Mar,2817740,2700289,117451,4.2
2015,Apr,2819642,2704075,115567,4.1
2015,May,2821296,2708106,113190,4
2015,Jun,2822330,2711857,110473,3.9
2015,Jul,2823113,2715331,107782,3.8
2015,Aug,2824328,2718949,105379,3.7
2015,Sep,2826738,2723507,103231,3.7
2015,Oct,2831273,2729866,101407,3.6
2015,Nov,2838185,2738100,100085,3.5
2015,Dec,2846469,2747292,99177,3.5
2016,Jan,2854824,2756327,98497,3.5
2016,Feb,2862563,2764474,98089,3.4
2016,Mar,2869340,2771487,97853,3.4
2016,Apr,2875495,2777726,97769,3.4
2016,May,2881818,2784082,97736,3.4
2016,Jun,2888818,2791396,97422,3.4
2016,Jul,2896488,2800024,96464,3.3
2016,Aug,2904307,2809433,94874,3.3
2016,Sep,2911768,2818834,92934,3.2
2016,Oct,2918450,2827895,90555,3.1
2016,Nov,2924511,2836933,87578,3
2016,Dec,2930522,2846292,84230,2.9
2017,Jan,2936962,2855949,81013,2.8
2017,Feb,2944356,2865932,78424,2.7
2017,Mar,2953005,2875953,77052,2.6
2017,Apr,2963090,2885928,77162,2.6
2017,May,2974362,2895708,78654,2.6
2017,Jun,2986332,2905055,81277,2.7
2017,Jul,2999765,2914991,84774,2.8
2017,Aug,3012679,2924477,88202,2.9
2017,Sep,3023747,2932976,90771,3
2017,Oct,3031110,2938819,92291,3
2017,Nov,3031291,2939071,92220,3
2017,Dec,3029796,2937962,91834,3
2018,Jan,3034093,2941725,92368,3
2018,Feb,3041965,2949473,92492,3
2018,Mar,3049371,2958793,90578,3
2018,Apr,3056040,2967998,88042,2.9
2018,May,3064511,2979410,85101,2.8
2018,Jun,3074507,2990450,84057,2.7
2018,Jul,3084859,2999367,85492,2.8
2018,Aug,3090695,3000187,90508,2.9
2018,Sep,3095724,3001205,94519,3.1
2018,Oct,3101129,3002970,98159,3.2
2018,Nov,3108570(P),3006168(P),102402(P),3.3(P
