Year,Period,labor force,employment,unemployment,unemployment rate
2012,Jan,1982713,1802207,180506,9.1
2012,Feb,1978231,1799565,178666,9
2012,Mar,1973317,1796114,177203,9
2012,Apr,1967875,1791931,175944,8.9
2012,May,1962194,1787555,174639,8.9
2012,Jun,1956474,1783319,173155,8.9
2012,Jul,1950606,1779137,171469,8.8
2012,Aug,1944745,1774907,169838,8.7
2012,Sep,1939239,1770720,168519,8.7
2012,Oct,1933900,1766539,167361,8.7
2012,Nov,1928581,1762465,166116,8.6
2012,Dec,1923380,1758815,164565,8.6
2013,Jan,1918564,1755911,162653,8.5
2013,Feb,1914533,1754171,160362,8.4
2013,Mar,1911585,1753830,157755,8.3
2013,Apr,1909970,1754910,155060,8.1
2013,May,1909278,1756713,152565,8
2013,Jun,1908985,1758586,150399,7.9
2013,Jul,1908801,1760355,148446,7.8
2013,Aug,1908410,1762092,146318,7.7
2013,Sep,1907949,1763894,144055,7.6
2013,Oct,1908135,1765905,142230,7.5
2013,Nov,1909513,1768430,141083,7.4
2013,Dec,1912046,1771555,140491,7.3
2014,Jan,1915298,1775307,139991,7.3
2014,Feb,1918854,1779730,139124,7.3
2014,Mar,1922507,1784708,137799,7.2
2014,Apr,1926047,1789945,136102,7.1
2014,May,1929630,1795499,134131,7
2014,Jun,1933666,1801516,132150,6.8
2014,Jul,1938066,1807640,130426,6.7
2014,Aug,1942533,1813602,128931,6.6
2014,Sep,1946537,1819269,127268,6.5
2014,Oct,1949413,1824451,124962,6.4
2014,Nov,1950851,1828830,122021,6.3
2014,Dec,1951551,1832551,119000,6.1
2015,Jan,1952569,1836074,116495,6
2015,Feb,1954637,1839768,114869,5.9
2015,Mar,1958063,1844089,113974,5.8
2015,Apr,1962741,1849244,113497,5.8
2015,May,1968112,1855080,113032,5.7
2015,Jun,1973545,1861348,112197,5.7
2015,Jul,1978977,1868008,110969,5.6
2015,Aug,1984543,1875044,109499,5.5
2015,Sep,1990474,1882613,107861,5.4
2015,Oct,1997346,1891126,106220,5.3
2015,Nov,2005356,1900588,104768,5.2
2015,Dec,2013727,1910279,103448,5.1
2016,Jan,2021679,1919339,102340,5.1
2016,Feb,2028874,1927175,101699,5
2016,Mar,2035128,1933604,101524,5
2016,Apr,2040554,1938884,101670,5
2016,May,2045414,1943538,101876,5
2016,Jun,2049889,1948163,101726,5
2016,Jul,2054016,1953253,100763,4.9
2016,Aug,2057691,1958716,98975,4.8
2016,Sep,2060883,1964242,96641,4.7
2016,Oct,2063593,1969657,93936,4.6
2016,Nov,2066371,1975225,91146,4.4
2016,Dec,2069893,1981262,88631,4.3
2017,Jan,2074335,1987682,86653,4.2
2017,Feb,2079640,1994359,85281,4.1
2017,Mar,2085582,2000905,84677,4.1
2017,Apr,2091885,2007058,84827,4.1
2017,May,2098213,2012722,85491,4.1
2017,Jun,2104103,2017714,86389,4.1
2017,Jul,2109864,2022547,87317,4.1
2017,Aug,2114842,2026884,87958,4.2
2017,Sep,2119032,2030817,88215,4.2
2017,Oct,2121693,2033478,88215,4.2
2017,Nov,2121596,2033520,88076,4.2
2017,Dec,2120955,2032976,87979,4.1
2018,Jan,2125221,2037526,87695,4.1
2018,Feb,2129795,2041760,88035,4.1
2018,Mar,2131620,2043490,88130,4.1
2018,Apr,2129328,2041394,87934,4.1
2018,May,2125668,2039028,86640,4.1
2018,Jun,2120255,2035486,84769,4
2018,Jul,2116629,2034108,82521,3.9
2018,Aug,2112282,2031670,80612,3.8
2018,Sep,2110339,2030498,79841,3.8
2018,Oct,2111671,2030545,81126,3.8
2018,Nov,2113854(P),2030889(P),82965(P),3.9(P
