Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,7685,7497,7822,7637,8395,8575,8937,9438,9494,10074,10538,11286
2009,12058,12898,13426,13853,14499,14707,14601,14814,15009,15352,15219,15098
2010,15046,15113,15202,15325,14849,14474,14512,14648,14579,14516,15081,14348
2011,14013,13820,13737,13957,13855,13962,13763,13818,13948,13594,13302,13093
2012,12797,12813,12713,12646,12660,12692,12656,12471,12115,12124,12005,12298
2013,12471,11950,11689,11760,11654,11751,11335,11279,11270,11136,10787,10404
2014,10202,10349,10380,9702,9859,9460,9608,9599,9262,8990,9090,8717
2015,8903,8610,8504,8526,8814,8249,8194,7990,7892,7918,7995,7916
2016,7749,7771,7932,7928,7626,7795,7700,7817,7933,7819,7480,7503
2017,7565,7437,7078,7019,6991,6948,6927,7115,6791,6588,6682,6572
2018,6641,6687,6486,6335,6128,6537,6245,6197,5986,6112,6018,6294
