Year,Period,labor force,employment,unemployment,unemployment rate
2011,Jan,3473305,3139432,333873,9.6
2011,Feb,3466972,3136312,330660,9.5
2011,Mar,3462169,3134099,328070,9.5
2011,Apr,3458969,3132796,326173,9.4
2011,May,3457455,3132444,325011,9.4
2011,Jun,3457160,3133149,324011,9.4
2011,Jul,3457441,3134999,322442,9.3
2011,Aug,3458076,3138052,320024,9.3
2011,Sep,3459142,3142610,316532,9.2
2011,Oct,3461153,3148737,312416,9
2011,Nov,3464012,3155902,308110,8.9
2011,Dec,3467287,3163381,303906,8.8
2012,Jan,3470587,3170602,299985,8.6
2012,Feb,3473802,3177049,296753,8.5
2012,Mar,3476293,3181677,294616,8.5
2012,Apr,3477069,3183933,293136,8.4
2012,May,3476271,3184854,291417,8.4
2012,Jun,3474422,3185871,288551,8.3
2012,Jul,3472005,3188024,283981,8.2
2012,Aug,3469717,3191534,278183,8
2012,Sep,3468162,3196070,272092,7.8
2012,Oct,3466906,3200714,266192,7.7
2012,Nov,3465690,3204626,261064,7.5
2012,Dec,3464263,3207318,256945,7.4
2013,Jan,3465517,3208679,256838,7.4
2013,Feb,3463646,3209467,254179,7.3
2013,Mar,3462290,3210734,251556,7.3
2013,Apr,3462153,3213298,248855,7.2
2013,May,3462821,3216430,246391,7.1
2013,Jun,3463764,3219285,244479,7.1
2013,Jul,3464802,3221747,243055,7
2013,Aug,3465091,3223955,241136,7
2013,Sep,3464302,3226128,238174,6.9
2013,Oct,3463476,3228657,234819,6.8
2013,Nov,3463397,3231944,231453,6.7
2013,Dec,3464000,3235814,228186,6.6
2014,Jan,3464903,3239971,224932,6.5
2014,Feb,3465945,3244372,221573,6.4
2014,Mar,3467704,3249195,218509,6.3
2014,Apr,3470417,3254383,216034,6.2
2014,May,3474541,3260531,214010,6.2
2014,Jun,3480745,3268326,212419,6.1
2014,Jul,3488748,3277350,211398,6.1
2014,Aug,3497992,3287014,210978,6
2014,Sep,3507315,3296464,210851,6
2014,Oct,3514786,3304682,210104,6
2014,Nov,3519331,3311006,208325,5.9
2014,Dec,3521903,3315896,206007,5.8
2015,Jan,3524048,3320282,203766,5.8
2015,Feb,3526710,3324560,202150,5.7
2015,Mar,3530163,3329138,201025,5.7
2015,Apr,3534273,3334147,200126,5.7
2015,May,3538326,3339019,199307,5.6
2015,Jun,3541532,3343054,198478,5.6
2015,Jul,3544371,3346383,197988,5.6
2015,Aug,3547789,3349676,198113,5.6
2015,Sep,3552718,3354185,198533,5.6
2015,Oct,3560369,3361332,199037,5.6
2015,Nov,3571004,3371407,199597,5.6
2015,Dec,3583080,3383287,199793,5.6
2016,Jan,3594774,3395445,199329,5.5
2016,Feb,3605078,3406672,198406,5.5
2016,Mar,3613596,3416330,197266,5.5
2016,Apr,3620786,3424536,196250,5.4
2016,May,3627599,3432125,195474,5.4
2016,Jun,3634480,3439828,194652,5.4
2016,Jul,3641115,3448084,193031,5.3
2016,Aug,3647259,3456687,190572,5.2
2016,Sep,3653042,3465126,187916,5.1
2016,Oct,3658283,3473019,185264,5.1
2016,Nov,3663402,3480757,182645,5
2016,Dec,3669026,3488813,180213,4.9
2017,Jan,3675547,3497247,178300,4.9
2017,Feb,3683212,3506309,176903,4.8
2017,Mar,3691803,3515646,176157,4.8
2017,Apr,3701218,3525093,176125,4.8
2017,May,3711259,3534736,176523,4.8
2017,Jun,3721663,3544610,177053,4.8
2017,Jul,3732981,3555370,177611,4.8
2017,Aug,3743241,3565350,177891,4.8
2017,Sep,3751574,3573965,177609,4.7
2017,Oct,3756619,3579503,177116,4.7
2017,Nov,3756204,3579304,176900,4.7
2017,Dec,3754871,3578007,176864,4.7
2018,Jan,3757119,3579847,177272,4.7
2018,Feb,3759978,3581914,178064,4.7
2018,Mar,3761537,3583088,178449,4.7
2018,Apr,3760565,3581853,178712,4.8
2018,May,3760423,3582502,177921,4.7
2018,Jun,3760156,3583492,176664,4.7
2018,Jul,3763188,3589816,173372,4.6
2018,Aug,3765672,3596666,169006,4.5
2018,Sep,3770743,3605716,165027,4.4
2018,Oct,3781532,3618768,162764,4.3
2018,Nov,3795834(P),3632609(P),163225(P),4.3(P)
